#jdstart-2463963   jdend-2463963    elevation      azimuth  flag        throw
      0.50000000      0.54166667      66.6441      198.088     1      40.0000
      0.54166667      0.58333333      60.0698      216.969     1      40.0000
      0.58333333      0.62500000      51.0000      226.209     1      40.0000
      0.62500000      0.66666667      50.3333      229.825     1      40.0000
      0.66666667      0.70833333      50.3333      218.000     1      40.0000
      0.70833333      0.75000000      50.0000      66.7366     1      40.0000
      0.75000000      0.79166667      50.0000      55.1703     1      40.0000
      0.79166667      0.83333333      56.1537      37.3272     1      40.0000
      0.83333333      0.87500000      61.8426      10.1194     1      40.0000
      0.87500000      0.91666667      60.4760      338.877     1      40.0000
      0.91666667      0.95833333      52.8263      315.180     1      40.0000
      0.95833333       1.0000000      50.0000      300.069     1      40.0000
       1.0000000       1.0416667      50.0000      283.097     0      90.0000
       1.0416667       1.0833333      50.0000      279.523     0      90.0000
       1.0833333       1.1250000      50.0000      276.252     0      90.0000
       1.1250000       1.1666667      50.0000      273.119     0      90.0000
       1.1666667       1.2083333      50.0000      245.000     0      90.0000
       1.2083333       1.2500000      50.0000      87.6874     0      90.0000
       1.2500000       1.2916667      50.0000      84.5468     0      90.0000
       1.2916667       1.3333333      50.0000      81.3273     0      90.0000
       1.3333333       1.3750000      50.0000      77.8431     0      90.0000
       1.3750000       1.4166667      55.6667      55.0000     1      40.0000
       1.4166667       1.4583333      70.0000      55.0000     1      40.0000
       1.4583333       1.5000000      67.8708      172.349     1      40.0000
       1.5000000       1.5416667      66.3503      199.679     1      40.0000
       1.5416667       1.5833333      59.5186      217.823     1      40.0000
       1.5833333       1.6250000      50.1203      226.582     1      40.0000
       1.6250000       1.6666667      50.0000      229.932     1      40.0000
       1.6666667       1.7083333      50.0000      221.000     1      40.0000
       1.7083333       1.7500000      50.0000      66.1041     1      40.0000
       1.7500000       1.7916667      50.0000      54.2345     1      40.0000
       1.7916667       1.8333333      56.6945      35.8453     1      40.0000
       1.8333333       1.8750000      61.9860      8.05606     1      40.0000
       1.8750000       1.9166667      60.1354      337.018     1      40.0000
       1.9166667       1.9583333      52.1800      313.966     1      40.0000
       1.9583333       2.0000000      50.0000      299.288     1      40.0000
       2.0000000       2.0416667      50.0000      283.019     0      90.0000
       2.0416667       2.0833333      50.0000      279.415     0      90.0000
       2.0833333       2.1250000      50.0000      276.088     0      90.0000
       2.1250000       2.1666667      50.0000      272.796     0      90.0000
       2.1666667       2.2083333      50.0000      245.000     0      90.0000
       2.2083333       2.2500000      50.0000      88.1632     0      90.0000
       2.2500000       2.2916667      50.0000      84.7867     0      90.0000
       2.2916667       2.3333333      50.0000      81.4999     0      90.0000
       2.3333333       2.3750000      50.0000      77.9873     0      90.0000
       2.3750000       2.4166667      56.6667      55.0000     1      40.0000
       2.4166667       2.4583333      69.6667      54.0000     1      40.0000
       2.4583333       2.5000000      67.9772      174.187     1      40.0000
       2.5000000       2.5416667      66.0332      201.221     1      40.0000
       2.5416667       2.5833333      58.9570      218.636     1      40.0000
       2.5833333       2.6250000      50.0000      226.933     1      40.0000
       2.6250000       2.6666667      50.0000      230.027     1      40.0000
